net,length_um
_04465_,30.62
_05585_,30.46
_02923_,30.44
_03752_,30.36
_00411_,30.29
_00641_,30.28
_05712_,30.15
_04910_,30.14
_03853_,30.02
_05286_,30.02
_00721_,29.96
_03112_,29.96
_01643_,29.94
_01219_,29.92
_01818_,29.92
_01064_,29.9
_00583_,29.8
_01620_,29.78
_03305_,29.7
_00878_,29.66
_04201_,29.58
_03880_,29.56
_03997_,29.52
_00469_,29.49
_00694_,29.48
_04452_,29.4
_05438_,29.4
_00444_,29.38
_01243_,29.38
_03364_,29.38
_06614_,29.36
_02948_,29.32
_05082_,29.32
_05662_,29.32
_02382_,29.31
_03751_,29.18
_05887_,29.13
_00669_,29.1
_03990_,29.08
_02060_,29.04
_03436_,29.015
_00347_,29
_03560_,29
_00097_,28.9
_00161_,28.9
_04161_,28.9
_02144_,28.72
_02903_,28.7
_06643_,28.7
_02101_,28.66
_01621_,28.6
_05626_,28.56
_00853_,28.54
_04491_,28.54
_06199_,28.54
_03443_,28.52
_05975_,28.48
_06214_,28.48
_03754_,28.44
_06989_,28.44
_04883_,28.395
_05758_,28.38
_04858_,28.32
_02172_,28.29
_04566_,28.2
_05371_,28.2
_06687_,28.16
_05575_,28.14
_05918_,28.09
_03475_,28.08
_03756_,28.08
_01475_,28.04
_04384_,28.04
_05516_,27.93
_00244_,27.9
_06772_,27.9
_06449_,27.88
_06364_,27.8
_04961_,27.78
_01756_,27.625
_00974_,27.6
_05453_,27.58
_06091_,27.58
_00727_,27.56
_00953_,27.52
_04310_,27.52
_05293_,27.52
_02665_,27.48
_04484_,27.47
_06980_,27.46
_00483_,27.44
_03518_,27.4
_03975_,27.4
_05691_,27.4
_02439_,27.38
_03064_,27.36
_02232_,27.32
_03152_,27.3
_04076_,27.28
_03459_,27.24
_02457_,27.22
_03613_,27.17
_07045_,27.15
_03780_,27.14
_04481_,27.1
_04982_,27.1
_05705_,27.04
_06103_,27.04
_00382_,27.02
_03644_,27.02
_06612_,27.02
_01168_,26.98
_04429_,26.94
_06939_,26.93
_00067_,26.9
_03777_,26.895
_05054_,26.88
_01088_,26.86
_01399_,26.8
_01623_,26.78
_02224_,26.77
_00740_,26.74
_04796_,26.74
_01042_,26.7
_00713_,26.64
_05872_,26.64
_01868_,26.62
_06753_,26.6
_00576_,26.58
_00046_,26.56
_01629_,26.56
_02418_,26.56
_04486_,26.52
_01148_,26.44
_02480_,26.4
_06742_,26.4
_05628_,26.38
_02828_,26.36
_05840_,26.36
_06853_,26.36
_06790_,26.32
_02437_,26.24
_05804_,26.24
_05676_,26.18
_04699_,26.12
_00291_,26.1
_03800_,26.1
_05337_,26.09
_04816_,26.04
_04583_,26.02
_03205_,25.98
_01078_,25.88
_03386_,25.88
_05882_,25.86
_05423_,25.82
_02406_,25.8
_04062_,25.8
_05744_,25.74
_03349_,25.7
_02385_,25.68
_06425_,25.68
_05849_,25.66
_04975_,25.62
_00712_,25.6
_03971_,25.58
_05772_,25.58
_02255_,25.56
_02642_,25.56
_03829_,25.56
_02447_,25.54
_01835_,25.48
_02770_,25.48
_05643_,25.48
_02945_,25.44
_05677_,25.43
_01027_,25.42
_04665_,25.4
_03201_,25.36
_04051_,25.36
_03549_,25.34
_02182_,25.28
_01535_,25.26
_06202_,25.26
_05648_,25.22
_03388_,25.18
_05036_,25.15
_03544_,25.14
_05506_,25.14
_02698_,25.06
_05646_,25.04
_05080_,25.02
_05764_,25.02
_03602_,25
_05320_,25
_05556_,24.96
_00623_,24.94
_03092_,24.92
_06228_,24.92
_06309_,24.92
_04886_,24.9
_02810_,24.86
_06094_,24.86
_01355_,24.82
_05370_,24.79
_00553_,24.78
_06070_,24.76
_01755_,24.66
_04694_,24.66
_01765_,24.64
_03969_,24.64
_04272_,24.64
_05904_,24.64
_03589_,24.62
_00496_,24.6
_00872_,24.58
_05096_,24.54
_01293_,24.5
_02423_,24.5
_05354_,24.5
_03462_,24.48
_02375_,24.46
_05472_,24.45
_01760_,24.4
_06710_,24.4
_01269_,24.38
_06599_,24.37
_02487_,24.34
_03584_,24.34
_03916_,24.34
_03943_,24.34
_06033_,24.3
_03787_,24.26
_04645_,24.26
_05539_,24.26
_00081_,24.24
_05527_,24.24
_01193_,24.22
_04358_,24.22
_04402_,24.2
_05617_,24.2
_03827_,24.18
_04675_,24.14
_01280_,24.11
_03978_,24.1
_01364_,24.09
_06444_,24.08
_04617_,24.06
_04545_,24.04
net123,24.04
_05682_,24.005
_04072_,24
_06825_,23.98
_04649_,23.9
_07055_,23.88
_02170_,23.86
_00790_,23.76
_05734_,23.76
_06186_,23.76
_01317_,23.75
_06384_,23.74
_05471_,23.72
_05118_,23.7
_02627_,23.66
_06178_,23.66
_06320_,23.64
_05644_,23.62
_06651_,23.62
_04750_,23.59
_06180_,23.44
_00319_,23.42
_00479_,23.42
_06872_,23.42
_03772_,23.4
_06615_,23.4
_01630_,23.38
_05417_,23.38
_05532_,23.38
_02980_,23.36
_05798_,23.36
_00542_,23.34
_02294_,23.28
_03119_,23.28
_04231_,23.26
_05616_,23.26
_06499_,23.26
_02883_,23.24
_00806_,23.2
_01321_,23.2
_01758_,23.195
_02805_,23.19
_02483_,23.18
_01214_,23.16
_04330_,23.16
_01814_,23.14
_04091_,23.08
_04728_,23.055
_00940_,23.04
_01696_,23.04
_02716_,23.04
_06059_,23.04
_04421_,23
_02807_,22.96
_01967_,22.92
_03040_,22.92
_05846_,22.92
_00147_,22.9
_05384_,22.88
_05129_,22.87
_01185_,22.86
_04219_,22.84
_03402_,22.8
_04148_,22.8
_01638_,22.76
_06367_,22.74
_05596_,22.72
